City,County,Population,Size
Ackley,Hardin,1589,2.45
Ackworth,Warren,83,0.29
Adair,Adair,781,2.2
Adel,Dallas,3682,3.27
Afton,Union,845,0.99
Agency,Wapello,638,0.65
Ainsworth,Washington,567,0.38
Akron,Plymouth,1486,1.22
Albert City,Buena Vista,699,0.54
Albia,Monroe,3766,3.19
Albion,Marshall,505,0.6
Alburnett,Linn,673,0.82
Alden,Hardin,787,1.71
Alexander,Franklin,175,4.27
Algona,Kossuth,5560,4.49
Alleman,Polk,432,2.7
Allerton,Wayne,501,1.14
Allison,Butler,1029,2.93
Alta,Buena Vista,1883,1.07
Alta Vista,Chickasaw,266,0.76
Alton,Sioux,1216,1.85
Altoona,Polk,14541,9.35
Alvord,Lyon,196,0.28
Ames,Story,58965,24.21
Anamosa,Jones,5533,2.6
Andover,Clinton,103,0.19
Andrew,Jackson,434,0.27
Anita,Cass,972,1.7
Ankeny,Polk,45582,29.33
Anthon,Woodbury,565,0.71
Aplington,Butler,1128,0.83
Arcadia,Carroll,484,0.98
Archer,O'Brien,131,0.09
Aredale,Butler,74,0.99
Arion,Crawford,108,0.47
Arispe,Union,100,0.52
Arlington,Fayette,429,1.05
Armstrong,Emmet,926,0.88
Arnolds Park,Dickinson,1126,1.57
Arthur,Ida,206,0.15
Asbury,Dubuque,4170,2.66
Ashton,Osceola,458,1.01
Aspinwall,Crawford,40,0.18
Atalissa,Muscatine,311,0.14
Atkins,Benton,1670,1.09
Atlantic,Cass,7112,8.32
Auburn,Sac,322,0.5
Audubon,Audubon,2176,1.88
Aurelia,Cherokee,1036,1.04
Aurora,Buchanan,185,0.57
Avoca,Pottawattamie,1506,2.13
Ayrshire,Palo Alto,143,0.21
Badger,Webster,561,1.09
Bagley,Guthrie,303,0.31
Baldwin,Jackson,109,0.36
Balltown,Dubuque,68,0.09
Bancroft,Kossuth,732,0.55
Bankston,Dubuque,25,0.29
Barnes City,Mahaska,176,0.59
Barnum,Webster,191,0.37
Bassett,Chickasaw,66,0.37
Batavia,Jefferson,499,0.6
Battle Creek,Ida,713,0.5
Baxter,Jasper,1101,0.65
Bayard,Guthrie,471,0.46
Beacon,Mahaska,494,1.0
Beaconsfield,Ringgold,15,0.72
Beaman,Grundy,191,0.19
Beaver,Boone,48,0.25
Bedford,Taylor,1440,1.6
Belle Plaine,Benton,2534,3.22
Bellevue,Jackson,2191,1.34
Belmond,Wright,2376,2.85
Bennett,Cedar,405,0.2
Benton,Ringgold,41,0.64
Berkley,Boone,32,0.21
Bernard,Dubuque,112,0.11
Bertram,Linn,294,1.68
Bettendorf,Scott,33217,21.22
Bevington,Madison,63,0.45
Birmingham,Van Buren,448,1.06
Blairsburg,Hamilton,215,0.65
Blairstown,Benton,692,0.52
Blakesburg,Wapello,296,0.27
Blanchard,Page,38,0.23
Blencoe,Monona,224,0.76
Blockton,Taylor,192,0.65
Bloomfield,Davis,2640,2.25
Blue Grass,Scott,1452,2.89
Bode,Humboldt,302,0.41
Bonaparte,Van Buren,433,0.37
Bondurant,Polk,3860,8.38
Boone,Boone,12661,9.02
Bouton,Dallas,129,0.14
Boxholm,Boone,195,1.02
Boyden,Sioux,707,0.75
Braddyville,Page,159,0.53
Bradgate,Humboldt,86,0.35
Brandon,Buchanan,309,0.32
Brayton,Audubon,128,0.62
Breda,Carroll,483,0.74
Bridgewater,Adair,182,0.29
Brighton,Washington,652,0.71
Bristow,Butler,160,0.94
Britt,Hancock,2069,1.26
Bronson,Woodbury,322,0.31
Brooklyn,Poweshiek,1468,1.23
Brunsville,Plymouth,151,0.24
Buck Grove,Crawford,43,0.36
Buckeye,Hardin,108,1.0
Buffalo,Scott,1270,6.45
Buffalo Center,Winnebago,905,1.07
Burlington,Des Moines,25663,14.48
Burt,Kossuth,533,0.44
Bussey,Marion,422,0.33
Calamus,Clinton,439,0.48
Callender,Webster,376,0.52
Calmar,Winneshiek,978,1.07
Calumet,O'Brien,170,0.27
Camanche,Clinton,4448,8.68
Cambridge,Story,827,1.1
Cantril,Van Buren,222,0.51
Carbon,Adams,34,0.71
Carlisle,Warren,3876,5.56
Carpenter,Mitchell,109,0.16
Carroll,Carroll,10103,5.69
Carson,Pottawattamie,812,0.71
Carter Lake,Pottawattamie,3785,1.87
Cascade,Dubuque,2159,1.87
Casey,Guthrie,426,0.74
Castalia,Winneshiek,173,0.58
Castana,Monona,147,0.93
Cedar Falls,Black Hawk,39260,28.75
Cedar Rapids,Linn,126326,70.8
Center Junction,Jones,111,0.55
Center Point,Linn,2421,2.6
Centerville,Appanoose,5528,4.86
Central City,Linn,1257,0.95
Centralia,Dubuque,134,0.58
Chariton,Lucas,4321,3.82
Charles City,Floyd,7652,6.22
Charlotte,Clinton,394,0.58
Charter Oak,Crawford,502,0.48
Chatsworth,Sioux,79,0.49
Chelsea,Tama,267,1.01
Cherokee,Cherokee,5253,6.43
Chester,Howard,127,1.34
Chillicothe,Wapello,97,0.23
Churdan,Greene,386,2.11
Cincinnati,Appanoose,357,1.74
Clare,Webster,146,0.51
Clarence,Cedar,974,0.68
Clarinda,Page,5572,5.19
Clarion,Wright,2850,3.26
Clarksville,Butler,1439,1.33
Clayton,Clayton,43,0.49
Clear Lake,Cerro Gordo,7777,10.8
Clearfield,Taylor,363,1.26
Cleghorn,Cherokee,240,0.34
Clemons,Marshall,148,0.27
Clermont,Fayette,632,1.23
Clinton,Clinton,26885,35.15
Clio,Wayne,80,0.75
Clive,Polk,15447,7.59
Clutier,Tama,213,0.76
Coburg,Montgomery,42,0.29
Coggon,Linn,658,0.62
Coin,Page,193,0.8
Colesburg,Delaware,404,0.29
Colfax,Jasper,2093,1.79
College Springs,Page,214,1.1
Collins,Story,495,0.49
Colo,Story,876,1.06
Columbus City,Louisa,391,0.24
Columbus Junction,Louisa,1899,2.19
Colwell,Floyd,73,0.18
Conesville,Muscatine,432,0.36
Conrad,Grundy,1108,1.2
Conway,Taylor,41,0.22
Coon Rapids,Carroll,1305,1.78
Coppock,Henry,47,0.23
Coralville,Johnson,18907,12.01
Corning,Adams,1635,1.58
Correctionville,Woodbury,821,0.57
Corwith,Hancock,309,1.48
Corydon,Wayne,1585,1.39
Cotter,Louisa,48,0.25
Coulter,Franklin,281,2.45
Council Bluffs,Pottawattamie,62230,40.97
Craig,Plymouth,89,0.09
Crawfordsville,Washington,264,0.35
Crescent,Pottawattamie,617,1.09
Cresco,Howard,3868,3.35
Creston,Union,7834,5.19
Cromwell,Union,107,0.29
Crystal Lake,Hancock,250,0.25
Cumberland,Cass,262,0.6
Cumming,Warren,351,2.56
Curlew,Palo Alto,58,0.76
Cushing,Woodbury,220,0.32
Cylinder,Palo Alto,88,0.07
Dakota City,Humboldt,843,0.74
Dallas Center,Dallas,1623,4.58
Dana,Greene,71,0.28
Danbury,Woodbury,348,0.4
Danville,Des Moines,934,0.75
Davenport,Scott,99685,62.95
Davis City,Decatur,204,0.59
Dawson,Dallas,131,0.48
Dayton,Webster,837,0.85
De Soto,Dallas,1050,1.52
De Witt,Clinton,5322,5.98
Decatur City,Decatur,197,0.4
Decorah,Winneshiek,8127,7.01
Dedham,Carroll,266,0.58
Deep River,Poweshiek,279,0.43
Defiance,Shelby,284,0.39
Delaware,Delaware,159,0.8
Delhi,Delaware,460,0.97
Delmar,Clinton,525,0.76
Deloit,Crawford,264,0.42
Delphos,Ringgold,25,0.22
Delta,Keokuk,328,0.93
Denison,Crawford,8298,6.54
Denver,Bremer,1780,1.64
Derby,Lucas,115,0.26
Des Moines,Polk,203433,80.87
Dexter,Dallas,611,2.35
Diagonal,Ringgold,330,0.9
Dickens,Clay,185,0.84
Dike,Grundy,1209,1.39
Dixon,Scott,247,0.15
Dolliver,Emmet,66,0.36
Donahue,Scott,346,0.35
Donnellson,Lee,912,1.26
Doon,Lyon,577,0.57
Dougherty,Cerro Gordo,58,0.55
Dow City,Crawford,510,0.32
Dows,Wright,538,0.77
Drakesville,Davis,184,0.25
Dubuque,Dubuque,57637,29.97
Dumont,Butler,637,1.76
Duncombe,Webster,410,1.97
Dundee,Delaware,174,0.36
Dunkerton,Black Hawk,852,0.98
Dunlap,Harrison,1042,1.13
Durango,Dubuque,22,0.04
Durant,Cedar,1832,1.15
Dyersville,Dubuque,4058,5.63
Dysart,Tama,1379,1.25
Eagle Grove,Wright,3583,4.04
Earlham,Madison,1450,0.97
Earling,Shelby,437,0.6
Earlville,Delaware,812,0.55
Early,Sac,557,0.39
East Peru,Madison,125,0.94
Eddyville,Wapello,1024,1.18
Edgewood,Delaware,864,0.85
Elberon,Tama,196,0.65
Eldon,Wapello,927,1.11
Eldora,Hardin,2732,4.33
Eldridge,Scott,5651,9.48
Elgin,Fayette,683,0.66
Elk Horn,Shelby,662,0.77
Elk Run Heights,Black Hawk,1117,1.06
Elkader,Clayton,1273,1.39
Elkhart,Polk,683,1.58
Elkport,Clayton,37,0.25
Elliott,Montgomery,350,0.42
Ellston,Ringgold,57,0.20
Ellsworth,Hamilton,531,0.9
Elma,Howard,546,1.29
Ely,Linn,1776,1.44
Emerson,Mills,438,0.26
Emmetsburg,Palo Alto,3904,3.81
Epworth,Dubuque,1860,1.56
Essex,Page,798,1.5
Estherville,Emmet,6360,5.32
Evansdale,Black Hawk,4751,4.05
Everly,Clay,603,1.09
Exira,Audubon,840,1.02
Exline,Appanoose,160,0.99
Fairbank,Buchanan,1113,0.71
Fairfax,Linn,2123,1.94
Fairfield,Jefferson,9464,6.26
Farley,Dubuque,1537,1.85
Farmersburg,Clayton,302,0.4
Farmington,Van Buren,664,0.47
Farnhamville,Calhoun,371,0.65
Farragut,Fremont,485,0.41
Fayette,Fayette,1338,1.48
Fenton,Kossuth,279,0.34
Ferguson,Marshall,126,0.26
Fertile,Worth,370,0.94
Floris,Davis,138,0.48
Floyd,Floyd,335,0.6
Fonda,Pocahontas,631,1.05
Fontanelle,Adair,672,0.96
Forest City,Winnebago,4151,4.64
Fort Atkinson,Winneshiek,349,0.31
Fort Dodge,Webster,25206,16.05
Fort Madison,Lee,11051,9.49
Fostoria,Clay,231,0.47
Franklin,Lee,143,0.15
Fraser,Boone,102,0.83
Fredericksburg,Chickasaw,931,0.86
Frederika,Bremer,183,0.2
Fredonia,Louisa,244,0.17
Fremont,Mahaska,743,1.03
Fruitland,Muscatine,977,1.8
Galt,Wright,32,0.54
Galva,Ida,434,0.71
Garber,Clayton,88,0.23
Garden Grove,Decatur,211,0.69
Garnavillo,Clayton,745,1.02
Garner,Hancock,3129,2.05
Garrison,Benton,371,0.25
Garwin,Tama,527,1.01
Geneva,Franklin,165,0.42
George,Lyon,1080,2.4
Gibson,Keokuk,61,0.07
Gilbert,Story,1082,0.91
Gilbertville,Black Hawk,712,0.4
Gillett Grove,Clay,49,0.19
Gilman,Marshall,509,0.54
Gilmore City,Humboldt,504,1.25
Gladbrook,Tama,945,0.7
Glenwood,Mills,5269,2.95
Glidden,Carroll,1146,1.11
Goldfield,Wright,635,1.19
Goodell,Hancock,139,0.43
Goose Lake,Clinton,240,0.32
Gowrie,Webster,1037,1.45
Graettinger,Palo Alto,844,0.77
Graf,Dubuque,79,0.14
Grafton,Worth,252,0.33
Grand Junction,Greene,824,0.97
Grand Mound,Clinton,642,1.82
Grand River,Decatur,236,0.21
Grandview,Louisa,556,0.23
Granger,Dallas,1244,1.45
Grant,Montgomery,92,0.74
Granville,Sioux,312,0.29
Gravity,Taylor,188,0.3
Gray,Audubon,63,1.0
Greeley,Delaware,256,0.37
Greene,Butler,1130,1.14
Greenfield,Adair,1982,1.81
Greenville,Clay,75,0.18
Grimes,Polk,8246,11.84
Grinnell,Poweshiek,9218,5.6
Griswold,Cass,1036,0.62
Grundy Center,Grundy,2706,2.53
Gruver,Emmet,94,0.13
Guernsey,Poweshiek,63,0.18
Guthrie Center,Guthrie,1569,2.47
Guttenberg,Clayton,1919,2.09
Halbur,Carroll,246,0.19
Hamburg,Fremont,1187,1.1
Hamilton,Marion,130,0.54
Hampton,Franklin,4461,4.43
Hancock,Pottawattamie,196,0.74
Hanlontown,Worth,226,0.97
Hansell,Franklin,98,0.23
Harcourt,Webster,303,1.0
Hardy,Humboldt,47,0.44
Harlan,Shelby,5106,4.39
Harper,Keokuk,114,0.09
Harpers Ferry,Allamakee,328,0.63
Harris,Osceola,170,0.79
Hartford,Warren,771,1.03
Hartley,O'Brien,1672,1.3
Hartwick,Poweshiek,86,0.13
Harvey,Marion,235,0.68
Hastings,Mills,152,0.41
Havelock,Pocahontas,138,0.57
Haverhill,Marshall,173,0.13
Hawarden,Sioux,2546,2.89
Hawkeye,Fayette,449,0.67
Hayesville,Keokuk,50,0.25
Hazleton,Buchanan,823,0.75
Hedrick,Keokuk,764,1.53
Henderson,Mills,185,0.21
Hepburn,Page,23,0.08
Hiawatha,Linn,7024,4.23
Hills,Johnson,703,0.63
Hillsboro,Henry,180,0.51
Hinton,Plymouth,928,0.69
Holland,Grundy,282,0.25
Holstein,Ida,1396,1.49
Holy Cross,Dubuque,374,0.34
Hopkinton,Delaware,628,0.62
Hornick,Woodbury,225,0.25
Hospers,Sioux,698,0.48
Houghton,Lee,146,0.31
Hubbard,Hardin,845,1.84
Hudson,Black Hawk,2282,8.4
Hull,Sioux,2175,1.2
Humboldt,Humboldt,4690,4.64
Humeston,Wayne,494,0.61
Huxley,Story,3317,3.15
Ida Grove,Ida,2142,2.1
Imogene,Fremont,72,0.2
Independence,Buchanan,5966,6.08
Indianola,Warren,14782,11.25
Inwood,Lyon,814,1.34
Ionia,Chickasaw,291,0.55
Iowa City,Johnson,67862,25.01
Iowa Falls,Hardin,5238,5.36
Ireton,Sioux,609,1.01
Irwin,Shelby,341,0.6
Jackson Junction,Winneshiek,58,5.99
Jamaica,Guthrie,224,0.46
Janesville,Bremer,930,1.44
Jefferson,Greene,4345,5.97
Jesup,Buchanan,2520,1.78
Jewell Junction,Hamilton,1215,3.87
Johnston,Polk,17278,17.16
Joice,Worth,222,1.0
Jolley,Calhoun,41,0.11
Kalona,Washington,2363,2.04
Kamrar,Hamilton,199,0.86
Kanawha,Hancock,652,2.01
Kellerton,Ringgold,315,0.66
Kelley,Story,309,0.68
Kellogg,Jasper,599,0.37
Kensett,Worth,266,1.53
Keokuk,Lee,10780,9.13
Keomah Village,Mahaska,84,0.03
Keosauqua,Van Buren,1006,1.45
Keota,Keokuk,1009,0.63
Keswick,Keokuk,246,0.43
Keystone,Benton,622,0.45
Kimballton,Audubon,322,0.77
Kingsley,Plymouth,1411,1.61
Kinross,Keokuk,73,0.2
Kirkman,Shelby,64,0.28
Kirkville,Wapello,167,0.56
Kiron,Crawford,279,0.21
Klemme,Hancock,507,0.51
Knierim,Calhoun,60,1.01
Knoxville,Marion,7313,4.63
La Motte,Jackson,260,0.46
La Porte City,Black Hawk,2285,2.55
Lacona,Warren,361,0.36
Ladora,Iowa,283,0.3
Lake City,Calhoun,1727,4.81
Lake Mills,Winnebago,2100,2.7
Lake Park,Dickinson,1105,1.55
Lake View,Sac,1142,2.11
Lakeside,Buena Vista,596,0.18
Lakota,Kossuth,255,0.19
Lambs Grove,Jasper,172,0.1
Lamoni,Decatur,2324,3.33
Lamont,Buchanan,461,0.58
Lanesboro,Carroll,121,0.74
Lansing,Allamakee,999,1.08
Larchwood,Lyon,866,0.99
Larrabee,Cherokee,132,0.12
Latimer,Franklin,507,2.4
Laurel,Marshall,239,0.25
Laurens,Pocahontas,1258,0.73
Lawler,Chickasaw,439,0.88
Lawton,Woodbury,908,0.71
Le Claire,Scott,3765,4.67
Le Grand,Marshall,938,1.04
Le Mars,Plymouth,9826,8.96
Le Roy,Decatur,15,0.33
Ledyard,Kossuth,130,0.33
Lehigh,Webster,416,2.09
Leighton,Mahaska,162,0.1
Leland,Winnebago,289,1.33
Lenox,Taylor,1407,1.98
Leon,Decatur,1977,3.17
Lester,Lyon,294,1.82
Letts,Louisa,384,0.59
Lewis,Cass,433,0.5
