County,Population,Median Age,Median Household Income,High School Graduate,Bachelor's Degree,Percent Rural,Sessions,Sessions (Normalized),Sanders Delegates,Clinton Delegates,Delegate Difference
Johnson,111006,28.4,48955,0.937,0.476,0.27,2936,26.44902077,54.73,37.01,17.72
Story,79981,26.5,48165,0.935,0.445,0.25,2240,28.00665158,27.37,18.63,8.74
Linn,191701,35.2,53700,0.906,0.277,0.18,2093,10.91804425,63.31,57.33,5.98
Black Hawk,128012,34.4,42753,0.865,0.23,0.13,1183,9.241321126,36.47,32.2,4.27
Jefferson,16181,41.1,41523,0.881,0.312,0.42,126,7.786910574,6.55,2.45,4.09
Woodbury,103877,34.2,43820,0.814,0.189,0.16,2154,20.73606284,19.2,16.65,2.55
Muscatine,41722,36.1,48671,0.803,0.172,0.29,120,2.876180432,9.72,8.28,1.44
Des Moines,42351,38.9,41273,0.858,0.16,0.29,133,3.140421714,10.67,9.33,1.33
Winneshiek,21310,35.7,48562,0.841,0.205,0.63,155,7.273580479,6.16,4.84,1.32
Boone,26224,38.6,51678,0.89,0.188,0.52,66,2.516778523,7.15,5.85,1.3
Marshall,39311,38.6,45190,0.823,0.17,0.35,173,4.400803846,9.6,8.4,1.2
Scott,158668,35.4,50707,0.863,0.249,0.12,1175,7.405399955,41.45,40.25,1.19
Butler,15305,41.3,50400,0.822,0.124,1,19,1.241424371,3.5,2.5,1
Cedar,18187,39.2,52600,0.877,0.163,0.84,79,4.343762028,4.46,3.54,0.91
Montgomery,11771,40.4,39430,0.818,0.129,0.49,31,2.633591029,1.92,1.08,0.84
Clinton,50149,38.2,47020,0.856,0.144,0.26,255,5.084847155,12.34,11.66,0.69
Shelby,13173,40.5,45177,0.866,0.153,0.64,25,1.897821301,2.32,1.68,0.64
Jones,20221,38.5,48254,0.853,0.127,0.58,38,1.879234459,4.8,4.2,0.6
Winnebago,11723,39.8,44608,0.873,0.165,0.7,42,3.582700674,2.3,1.7,0.6
Pottawattamie,87704,36.5,45769,0.84,0.15,0.28,295,3.36358661,15.73,15.19,0.54
Poweshiek,18815,38.4,47337,0.867,0.185,0.54,398,21.1533351,4.75,4.25,0.5
Harrison,15666,38.9,50368,0.85,0.127,0.81,11,0.7021575386,2.73,2.27,0.47
Union,12309,40.1,41167,0.873,0.147,0.39,82,6.661792185,2.69,2.31,0.38
Worth,7909,40.7,49371,0.86,0.127,1,2,0.2528764698,2.19,1.81,0.37
Cherokee,13035,41.7,44474,0.875,0.152,0.57,14,1.074031454,2.18,1.82,0.36
Lyon,11763,38.1,48467,0.787,0.142,0.79,7,0.5950862875,1.13,0.8,0.33
Howard,9932,39.5,42421,0.793,0.126,0.65,18,1.812323802,2.15,1.85,0.31
Grundy,12369,40.8,55901,0.865,0.172,0.8,26,2.102029267,2.07,1.87,0.2
Cerro Gordo,46447,39.3,44494,0.873,0.203,0.22,226,4.865760975,11.09,10.91,0.18
Dickinson,16424,43.3,50069,0.892,0.213,0.75,42,2.557233317,3.59,3.41,0.18
Clayton,18678,40.2,43387,0.826,0.128,1,31,1.659706607,4.08,3.92,0.16
Fremont,8010,41.2,45897,0.85,0.14,1,7,0.8739076155,1.35,1.2,0.15
Van Buren,7809,40.8,37544,0.827,0.118,1,5,0.6402868485,1.07,0.93,0.13
Sioux,31589,32.8,50978,0.804,0.198,0.53,202,6.394631042,2.03,1.92,0.11
Clay,17372,39.4,44294,0.88,0.163,0.4,38,2.187428045,3.04,2.96,0.07
Monroe,8016,39.7,41103,0.822,0.126,0.55,8,0.998003992,1.34,1.29,0.05
Page,16976,40.2,40692,0.855,0.166,0.38,72,4.24128181,2.03,1.97,0.05
Buena Vista,20411,36.4,43864,0.813,0.187,0.58,108,5.291264514,2.91,2.91,0
Calhoun,11115,42.4,44833,0.854,0.154,1,8,0.7197480882,2,2,0
Henry,20336,37.1,43887,0.861,0.162,0.61,42,2.065302911,3.5,3.5,0
Allamakee,14675,39.7,44119,0.814,0.144,0.74,11,0.7495741056,2.96,3.04,-0.08
Decatur,8689,36.4,32242,0.817,0.151,0.72,44,5.063873864,1.41,1.5,-0.09
Mills,14547,38.1,54646,0.832,0.163,0.61,33,2.268508971,2.44,2.56,-0.11
O'Brien,15102,40.7,43292,0.807,0.147,0.71,21,1.390544299,1.42,1.53,-0.11
Ida,7837,41.5,44892,0.85,0.136,1,3,0.3827995406,0.93,1.07,-0.13
Iowa,15671,38.8,52079,0.87,0.158,1,28,1.786739838,3.43,3.57,-0.14
Crawford,16942,38.2,42916,0.785,0.124,0.65,23,1.357572896,2.08,2.25,-0.17
Osceola,7003,39.7,42469,0.811,0.134,0.64,2,0.2855918892,0.38,0.57,-0.18
Marion,32052,37.2,52221,0.84,0.189,0.44,114,3.556720329,6.24,6.5,-0.26
Adams,4482,41.9,38191,0.845,0.12,1,6,1.338688086,0.87,1.13,-0.27
Palo Alto,10147,40.7,43752,0.837,0.139,0.64,27,2.660884991,1.87,2.13,-0.27
Sac,11529,42.1,44135,0.842,0.136,0.79,9,0.7806401249,1.35,1.65,-0.3
Greene,10366,41,44476,0.856,0.146,0.6,24,2.315261432,1.85,2.15,-0.31
Humboldt,10381,41.3,46437,0.863,0.154,0.61,8,0.7706386668,1.33,1.67,-0.33
Adair,8243,41.8,47553,0.878,0.112,1,14,1.698410773,1.32,1.68,-0.36
Emmet,11027,39.6,42979,0.822,0.13,0.44,23,2.085789426,1.32,1.68,-0.36
Jackson,20296,39.1,44567,0.815,0.121,0.72,44,2.16791486,4.14,4.5,-0.36
Guthrie,11353,41.9,48626,0.854,0.149,1,24,2.113978684,1.8,2.2,-0.4
Madison,14019,37.9,55607,0.876,0.144,0.68,25,1.783294101,2.8,3.2,-0.4
Appanoose,13721,40.6,33663,0.814,0.122,0.58,60,4.372859121,2.27,2.73,-0.47
Wright,14334,41.4,47130,0.844,0.135,0.39,19,1.325519743,2.27,2.73,-0.47
Davis,8541,38.5,42741,0.789,0.114,0.69,7,0.819576162,1.26,1.74,-0.48
Buchanan,21093,36.4,51052,0.846,0.127,0.72,83,3.934954724,4.75,5.25,-0.5
Tama,18103,39.1,45564,0.842,0.129,0.85,64,3.535325637,4.24,4.76,-0.53
Louisa,12183,35.9,45367,0.797,0.127,1,19,1.559550193,1.68,2.24,-0.56
Fayette,22008,39.4,41809,0.848,0.138,0.59,45,2.044711014,4.69,5.26,-0.57
Franklin,10704,41.3,46082,0.84,0.145,0.64,7,0.653961136,1.69,2.27,-0.58
Lucas,9422,39.9,38122,0.791,0.111,0.52,15,1.59201868,1.2,1.8,-0.6
Wayne,6730,43,35092,0.839,0.121,1,4,0.5943536404,0.7,1.3,-0.6
Clarke,9133,38.6,42384,0.844,0.121,0.56,28,3.065805321,1.68,2.32,-0.64
Monona,10020,43,41072,0.817,0.134,0.72,5,0.499001996,1.16,1.8,-0.64
Ringgold,5469,43.2,35035,0.828,0.134,1,3,0.5485463522,0.68,1.33,-0.65
Washington,20670,38.8,49760,0.825,0.164,0.67,79,3.821964199,4.15,4.85,-0.69
Audubon,6830,42.4,45280,0.825,0.123,0.67,11,1.610541728,1.13,1.88,-0.75
Plymouth,24849,37.8,58440,0.874,0.193,0.67,43,1.73045193,3.12,3.88,-0.75
Taylor,6958,41.6,39727,0.833,0.12,1,4,0.5748778385,0.6,1.4,-0.8
Mahaska,22335,37.2,45021,0.826,0.165,0.52,47,2.104320573,3.07,3.93,-0.87
Hancock,12100,39.7,48040,0.858,0.154,0.76,24,1.983471074,1.52,2.4,-0.88
Bremer,23325,38.1,54482,0.877,0.215,0.66,143,6.130760986,5.44,6.4,-0.96
Delaware,18404,37.1,48574,0.851,0.13,0.74,39,2.119104542,3.44,4.4,-0.96
Hardin,18812,40.6,44705,0.857,0.171,0.58,25,1.328938975,2.97,4.03,-1.06
Floyd,16900,40.3,43288,0.859,0.148,0.55,66,3.905325444,3.47,4.53,-1.07
Hamilton,16438,39.1,46994,0.873,0.175,0.52,44,2.676724662,2.47,3.53,-1.07
Pocahontas,8662,42.5,45593,0.866,0.15,1,6,0.6926806742,0.9,1.98,-1.08
Cass,14684,41.6,40358,0.859,0.166,0.54,33,2.247344048,1.9,3,-1.1
Keokuk,11400,40,42969,0.84,0.116,1,11,0.9649122807,1.4,2.5,-1.1
Jasper,37213,38.5,48439,0.868,0.159,0.58,86,2.311020342,8.1,9.27,-1.17
Mitchell,10874,40.6,46684,0.844,0.128,0.7,14,1.28747471,1.35,2.6,-1.25
Chickasaw,13095,39.7,43990,0.834,0.122,0.74,16,1.221840397,2.34,3.6,-1.26
Benton,25308,37.2,56592,0.878,0.139,0.66,36,1.422475107,5.28,6.72,-1.44
Kossuth,17163,41.3,47812,0.856,0.136,0.71,28,1.631416419,2.13,3.6,-1.47
Webster,40235,37.7,40501,0.842,0.169,0.36,228,5.66670809,7.2,8.67,-1.47
Wapello,36051,39.2,39941,0.815,0.146,0.32,114,3.162186902,6.68,8.17,-1.5
Lee,38052,39.5,40921,0.836,0.125,0.37,29,0.7621150005,7.71,9.29,-1.59
Carroll,21421,38.7,46086,0.837,0.16,0.58,42,1.960692778,2.96,5.04,-2.08
Dubuque,89143,36.5,46894,0.852,0.213,0.26,537,6.024028808,22.77,25.04,-2.28
Warren,40671,36,60253,0.9,0.212,0.43,107,2.630867203,9.53,12.17,-2.64
Dallas,40750,35.1,71854,0.895,0.268,0.66,96,2.355828221,12.08,16.68,-4.59
Polk,374601,34.4,54948,0.883,0.297,0.08,4162,11.11048823,105.26,121.22,-15.96